vin,model,mfg_year,fuel_type,base_kmpl
LHRX5M8N,Rivian EDV,2005,Electric,4.6
T54884Z4,Tesla Semi,2014,Petrol,11.88
AXY2NZ5X,Blue Bird All American,2024,Electric,5.98
RDV1L303,Isuzu NPR,2013,Petrol,8.62
V1PUB4YI,Chevrolet Silverado 4500HD,2006,Electric,3.13
Y4UJUGRX,Thomas Saf-T-Liner,2005,Diesel,14.1
DRTQL7YE,Chevrolet Silverado 4500HD,2012,Petrol,10.94
RRV501EV,International LT,2001,Electric,4.55
VN3OM84J,"Volvo
VNL",2001,LNG,9.43
5ECNPPTB,Mercedes Sprinter,2058,Petrol,10.22
YSWM6DC8,Hino 268,2019,Electric,5.28
EBCXIIJC,Peterbilt 579,2003,Hybrid,12.22
QY886LJX,Peterbilt 579,2010,Diesel,6.91
R5OBV5T3,IC Bus CE Series,2023,CNG,11.01
00000000,BYD 8TT,2026,Electric,4.19
GTNTXLRZ,Hino 268,2005,Electric,5.18
K0RCSFKJ,Rivian EDV,2000,Hybrid,15.52
SOS7DPI1,International LT,2013,Hybrid,10.37
5R3EGZNO,Peterbilt 579,2020,Electric,17.79
AE21761J,Thomas Saf-T-Liner,2026,Diesel,5.43
E8A54HBP,Western Star 5700XE,2006,Diesel,12.71
2QFJP2PN,Ford F-750,2022,Hybrid,11.27
96UPB22O,Blue Bird All American,2017,CNG,13.41
DIDJBZ3G,Hino 268,2091,Hybrid,10.8
MXQRVGS4,IC Bus CE Series,2002,Diesel,14.99
ZVWZBRN5,Mack Anthem,2008,Diesel,14.19
GE4QXXVA,Chevrolet Silverado 4500HD,2007,Petrol,17.87
5BOV3036,Volvo VNL,2013,Electric,5.4
H6C6IWMG,Nikola Tre,2016,CNG,10.59
VT1RK7F6,"Freightliner M2, Heavy Duty",2007,Petrol,11.92
ZTPZMNS7,Chevrolet Silverado 4500HD,2023,LNG,11.19
MVNO9I1S,Hyundai XCIENT,2020,CNG,11.51
8CG90MX7,Freightliner M2,2010,Diesel,5.57
WZ6DTVLD,Thomas Saf-T-Liner,2023,Electric,4.87
8KX7G9S0,Western Star 5700XE,2003,Diesel,5.87
POZBLZD3,Hyundai XCIENT,2021,Hybrid,21.17
1ILW9QAN,Freightliner M2,2021,Diesel,8.62
IMLX6VYM,Mercedes Sprinter,2022,Petrol,8.22
613CHZIN,Ford F-750,2012,Hybrid,13.47
U5R7W7XP,Hino 268,2018,Hybrid,20.86
O0WV9KHS,"Freightliner M2, Heavy Duty",2026,Electric,5.35
OQ6KXAYF,BYD 8TT,2003,LNG,11.71
IZ8VDK2U,Kenworth T680,2007,ELECTRIC,17.06
BND1XYO3,Hyundai XCIENT,2026,Petrol,6.48
RN4FLHW3,Kenworth T680,2015,Diesel,7.13
7F7NHWIC,BYD 8TT,2010,CNG,12.95
DRPIGMWC,Blue Bird All American,2025,Diesel,14.24
5WUIH2JY,Western Star 5700XE,2025,Diesel,9.72
9C245O7O,Western Star 5700XE,2006,Electric,2.98
WWWWWWWW,Ram ProMaster,2009,CNG,10.1
KAYWQ9P9,Volvo VNL,2008,Electric,2.81
HUF27CFN,Hino 268,2011,LNG,13.24
5JDHMBZX,Isuzu NPR,2022,Petrol,17.48
5OW3DD83,Hyundai XCIENT,2014,CNG,14.07
XYPHWHM5,Arrival Van,2007,Diesel,9.9
709NWA65,Rivian EDV,2023,CNG,12.21
UHGPJNVW,Ford Transit,2016,Diesel,11.57
3D92IOFO,Thomas Saf-T-Liner,2002,CNG,8.06
UIET2ELL,Arrival Van,2000,CNG,15.94
35SJ3HJD,International LT,2017,CNG,12.89
KPWDMJ3Z,Hyundai XCIENT,2026,LNG,13.51
RZ83XPB5,Volvo VNL,2004,Petrol,6.04
RUTUHUZO,"Freightliner M2, Heavy Duty",2020,CNG,10.25
3F87LCHJ,Tesla Semi,2016,CNG,15.97
06M5L1MO,Mercedes Sprinter,2022,Hybrid,19.59
ILM1GWLE,Kenworth T680,2013,CNG,10.9
7HCQ43AA,Western Star 5700XE,20 22,LNG,8.2
D7VPVH9W,IC Bus CE Series,2006,Hybrid,13.02
UZO75074,Hino 268,2007,CNG,14.96
XAAD0XH2,Blue Bird All American,2004,CNG,9.41
ZFDSNCZX,Nikola Tre,2003,Electric,3.68
QQ6HZOJX,Rivian EDV,2026,LNG,8.96
WAPFM0LJ,Isuzu NPR,2003,Hybrid,19.9
4ACC224R,Isuzu NPR,1948,Electric,3.09
VZCXSRKN,BYD 8TT,2016,Diesel,8.84
W0ZGIJ0M,Rivian EDV,,Hybrid,18.3
GKL4BLQJ,Rivian EDV,2025,Petrol,14.7
C7C916S9,Ford F-750,2000,Petrol,9.49
4QV963OM,Rivian EDV,2001,Electric,2.64
ZHF0JAHZ,IC Bus CE Series,2026,Petrol,14.46
CIEV35U7,Peterbilt 579,2017,Hybrid,N/A
M1D0RIEI,Ram ProMaster,2004,Diesel,7.02
ZO6RYXJC,Mercedes Sprinter,2026,Electric,3.84
17CT5CT5,IC Bus CE Series,2017,Electric,26.79
VZEO2JUX,Volvo VNL,2024,Diesel,9.01
0AY5TDRW,Rivian EDV,2004,Electric,4.48
TKVWHP67,Volvo VNL,2016,CNG,8.88
QT3DGD8O,Thomas Saf-T-Liner,2006,Diesel,9.02
HKJEHT8T,9832,2012,Electric,4.66
  CJ6S8WMR  , Nikola Tre , 2025 , CNG , 15.58 
YX8HBBJC,Peterbilt 579,2008,CNG,9.81
GZ3FPXRT,Rivian EDV,2013,Hybrid,17.5
6TOMATVH,Arrival Van,2020,Diesel,6.82
PRGYGO2Y,Thomas Saf-T-Liner,2003,CNG,14.42
2VAADVER,Ram ProMaster,2003,Hybrid,16.42
0PJOEWXL,Western Star 5700XE,2017,LNG,11.54
XEHTTUWX,International LT,2001,Diesel,7.78
P5KZZRCL,Blue Bird All American,2000,Electric,4.6
38AYIX6X,Western Star 5700XE,2024,Hybrid,12.24
FY5D3JGQ,Peterbilt 579,2024,Petrol,11.25
2A00DXA5,Nikola Tre,2015,Hybrid,14.91
GSGCJ2TJ,Ford Transit,2023,LNG,7.06
R5DT2V6K,Arrival Van,2017,Hybrid,17.69
AVX4IQ2E,Volvo VNL,2007,LNG,9.55
ZIO900YS,Ram ProMaster,2005,Diesel,8.13
2E1JX398,Chevrolet Silverado 4500HD,2022,Diesel,12.5
HQOA,Hyundai XCIENT,2016,Electric,5.14
66NFVUIN,Nikola Tre,2010,Hybrid,17.59
5C5JO5L0,Peterbilt 579,2011,Hybrid,12.05
KEAIV6ZB,Isuzu NPR,2007,Diesel,-inf
G5DM12HO,Ford F-750,2000,LNG,11.85
  H6B2HF5Q  , Ford Transit , 2010 , LNG , 11.41 
VIMOFMAQ,Mack Anthem,2026,CNG,11.12
UCP3T7XL,"Freightliner M2, Heavy Duty",2026,Petrol,6.64
UYT9OPBF,Ram ProMaster,2001,CNG,10.34
QNR2IN7S,Ford Transit,2000,Petrol,13.03
JTUF57FM,Volvo VNL,2004,Petrol,10.07
70SOMLNK,Freightliner M2,2015,CNG,11.95
BN5ZUL2E,Mack Anthem,2007,Petrol,6.28
QTNNX08X,Mercedes Sprinter,2003,Electric,4.43
DZPJL9R9,Hino 268,2023,LNG,9.52
9LAACOSY,Blue Bird All American,2007,Hybrid,18.7
IL5GY2GN,Hino 268,2022,LNG,11.59
9OQAGRWG,Nikola Tre,2026,Diesel,9.05
WKVIL30Z,Volvo VNL,2006,CNG,11.2
ZFUUZWP4,Thomas Saf-T-Liner,2002,CNG,14.92
LC8S4ZMZ,"Freightliner M2, Heavy Duty",2012,Petrol,6.15
ADH8TNYO,Peterbilt 579,2018,Diesel,12.63
1EDC8XQY,Nikola Tre,2002,CNG,11.67
LWLS8KAN,Peterbilt 579,2005,Electric,3.44
35ID6KOZ,Ford Transit,2001,Electric,2.86
43IRGM5D,Ford F-750,2007,Petrol,10.71
E6IFKATV,Peterbilt 579,2006,CNG,14.4
F6RJIVG6,Ram ProMaster,2007,Electric,-2.47
QV8ONBL7,Ford Transit,2010,Diesel,11.98
R469YZWZ,Chevrolet Silverado 4500HD,,Hybrid,15.0
1AZP87I1,Nikola Tre,2025,CNG,8.4
A49XUD9R,Ram ProMaster,2021,Electric,5.73
XRQLOTEF,Arrival Van,2009,Diesel,14.64
W4GZ0BJ5,Tesla Semi,2025,Petrol,10.22
M6S7G67A,BYD 8TT,Year2022,CNG,13.94
3IWUG6RT,Ford Transit,2015,Hybrid,11.62
2WW3SEVZ,Hino 268,2000,CNG,11.39
CJZOY08W,Thomas Saf-T-Liner,2008,Diesel,5.28
IADDUR82,Kenworth T680,2023,Petrol,14.68
N20PY43V,BYD 8TT,2018,Diesel,12.73
ISNKTKP2,Thomas Saf-T-Liner,2001,Hybrid,17.98
YOC03F12,Thomas Saf-T-Liner,Year2022,Petrol,8.21
09xwtrv0,Ford F-750,2023,Diesel,13.67
UHF4NII4,Volvo VNL,2007,LNG,9.61
P57GCF9E,Nikola Tre,2009,CNG,10.26
Q40ZB00Y,Ford Transit,2008,Petrol,9.66
REASFEN0,Volvo VNL,2023,Diesel,11.39
EFCD5Q6T,Isuzu NPR,2042,LNG,9.79
8F4P828J,Arrival Van,2008,Diesel,8.07
J77RUEOC,IC Bus CE Series,2008,Electric,3.39
E161JHUZ,Tesla Semi,2018,LNG,9.7
5J6A40,Isuzu NPR,2008,LNG,12.35
M8ECKC54,Nikola Tre,2015,LNG,13.46
LIRHXRHG,Tesla Semi,2020,LNG,11.39
8VQNUBBW,Kenworth T680,2023,Hybrid,16.58
VHT828O6,IC Bus CE Series,2020,Petrol,12.11
1'; DROP TABLE vehicle_registry;--,Blue Bird All American,2015,Diesel,8.35
AILKTGFT,Kenworth T680,2003,CNG,13.71
  C0NH0ZO9  , Blue Bird All American , 2002 , Petrol , 16.5 
087SSPW5,Mack Anthem,2006,CNG,12.67
J3L9R5QQ,Kenworth T680,2025,CNG,9.94
VAG8OUTE,Arrival Van,2002,Hybrid,11.2
fmujrp5r,Western Star 5700XE,2000,Electric,4.64
UIRODXMO,Volvo VNL,2021,Electric,4.79
EWK3VGD3,Hyundai XCIENT,2016,LNG,8.4
J403CNFU,Western Star 5700XE,2003,CNG,11.36
7YQ61MYR,Chevrolet Silverado 4500HD,2026,Petrol,6.68
H83J0NPH,Western Star 5700XE,2026,Hybrid,13.4
DRD2FXLG,Mercedes Sprinter,2020,Electric,4.37
6LTHET25,Ford F-750,2022,Petrol,14.46
jof5mrtn,Hino 268,2003,Petrol,10.3
ANDTQYPI,Kenworth T680,2010,Hybrid,17.37
BQ6ODF1M,Blue Bird All American,2012,LNG,8.04
O5XXY6WK,Western Star 5700XE,2023,Petrol,13.25
HJFLHYKR,Freightliner M2,2025,Hybrid,21.07
AMT3WJQ3,Mercedes Sprinter,2013,Electric,4.51
OCQJR6VH,Arrival Van,2011,LNG,13.35
GCKNHYVA,Mack Anthem,2010,LNG,8.5
N2OJGFHZ,Ram ProMaster,2014,Electric,4.26
TUF8CYOT,BYD 8TT,2023,Electric,3.09
WOBX7HLR,Isuzu NPR,2023,CNG,8.87
4EPIBAQY,Mercedes Sprinter,2008,CNG,15.36
2ZBPPFO5,Blue Bird All American,2017,Petrol,10.5
022WGN51,Blue Bird All American,2015,LNG,10.63
SQR2MQCX,BYD 8TT,2023,Hybrid,28
273HB6US,Ram ProMaster,2022,LNG,12.15
0NXU43IE,Kenworth T680,2003,Hybrid,11.07
ZKO0WP61,BYD 8TT,2012,LNG,12.55
F1MHHQVH,Kenworth T680,2021,Electric,4.66
LAQNLA8L,Hino 268,2006,LNG,8.98
TBD3SJW1,Tesla Semi,2017,Diesel,11.8
U7OT62HB,Freightliner M2,2001,CNG,14.56
1PBA6RJT,Ford Transit,2011,Hybrid,13.45
J6C119KC,Chevrolet Silverado 4500HD,2007,Electric,4.78
54PW1VAO,Tesla Semi,2001,Diesel,6.53
V76NHRU8,Kenworth T680,2010,LNG,11.64
95ABZ76N,Mercedes Sprinter,2013,Electric,5.08
RVWU3LMY,Chevrolet Silverado 4500HD,2008,LNG,11.58
TNQETMNI,Ford Transit,2006,Hybrid,19.53
8HEHWQEE,Nikola Tre,2023,CNG,14.04
BZT0U1M8,IC Bus CE Series,2003,Diesel,13.85
QSK3YKKD,Peterbilt 579,2012,CNG,14.01
2WSPOFV1,Peterbilt 579,2003,CNG,12.5
F010AIAO,Hino 268,2026,Petrol,7.15
877W0L4Z,International LT,2002,Petrol,7.97
P2UX7WDE,Freightliner M2,2006,Diesel,8.59
BX6ADLOR,Ram ProMaster,2022,Petrol,14.29
S4A4C806,International LT,2002,Electric,2.58
M1BWYE6Q,Nikola Tre,2016,Hybrid,11.62
EKQUFN92,IC Bus CE Series,2005,Petrol,14.83
Z05NZX6X,Peterbilt 579,2000,LNG,11.28
YZI13M29,9882,2026,Hybrid,20.49
EWUFL10O,Hino 268,2002,CNG,12.21
!@#$%,BYD 8TT,2012,Hybrid,21.13
6NSCUIEC,Isuzu NPR,2026,LNG,11.88
E23WH6PR,Freightliner M2,2025,Diesel,11.46
6YULND7U,Arrival Van,2021,Hybrid,17.69
OITBTOBA,Hino 268,2007,LNG,9.36
CXAJR00F,International LT,2005,Hybrid,10.6
F4V558YP,Isuzu NPR,,LNG,11.92
WWKKPFFW,Thomas Saf-T-Liner,2013,Petrol,8.12
MJYGQ6ZC,Hino 268,2009,Petrol,15.54
URU4CDRE,N/A,2007,Petrol,11.24
IWF9THOD,IC Bus CE Series,2022,Diesel,6.85
65ZNT6YC,Western Star 5700XE,2023,LNG,10.63
RV621WIS,Western Star 5700XE,2007,Petrol,16.69
GSCBY9XW,Isuzu NPR,2020,Diesel,11.66
UFY1WRC2,BYD 8TT,2011,LNG,12.88
PQ3C4R1O,Volvo VNL,2022,Diesel,6.17
2U1IQ2BA,Hino 268,2003,Diesel,5.74
57X8YP1F,Tesla Semi,2018,Diesel,13.12
7O0GXAPL,Isuzu NPR,2015,LNG,7.14
  KILCWSXJ  , Chevrolet Silverado 4500HD , 2017 , CNG , 9.91 
M9IQBQ9J,International LT,2006,Hybrid,16.7
ZULGTDT2,Ram ProMaster,2018,Hybrid,12.29
GDYEL02X,Thomas Saf-T-Liner,2023,CNG,9.74
8LCHAPOR,Ford F-750,2000,CNG,12.87
NGQEMYS3,Ford Transit,2026,Diesel,12.38
LJA6I2B3,Mack Anthem,2005,LNG,9.49
KACCRNCI,Mercedes Sprinter,2009,CNG,14.02
GJEUHO6A,Nikola Tre,2018,Hybrid,16.36
72ZT542Q,Blue Bird All American,2002,Petrol,13.48
QIJ88AGT,Isuzu NPR,2008,Diesel,11.38
6D86ZCHH,Hyundai XCIENT,2019,CNG,8.12
BQ2N9CWY,Peterbilt 579,2008,Diesel,7.16
9A7B726E,BYD 8TT,2017,CNG,15.42
LUX4L863,Freightliner M2,2024,Hybrid,16.9
1JOVDKQM,Ram ProMaster,2000,Hybrid,19.04
TOEZ1FVW,Nikola Tre,2012,Petrol,8.88
QEXS01HL,Hino 268,2004,LNG,8.94
7FSVEEGS,Arrival Van,2021,Electric,3.33
ZE9ZWVIH,Hyundai XCIENT,2010,Electric,5.98
G535I7RF,IC Bus CE Series,2006,Electric,4.38
ZTCNHDMW,Kenworth T680,2021,LNG,13.85
RG870SB9,International LT,2021,Electric,4.92
FDZ1X7RM,Ford Transit,2024,Electric,3.92
PSNT9W3J,Isuzu NPR,2000,Petrol,7.8
EE1R0W22,Arrival Van,2013,LNG,9.04
QKWMTKEI,BYD 8TT,2020,Hybrid,0
0WOEKWKG,Hyundai XCIENT,2006,CNG,15.01
G1TPD7LS,Arrival Van,2025,Electric,3.13
39AYQ6WW,Volvo VNL,2021,Electric,5.6
5SYDN7MC,IC Bus CE Series,2021,Electric,2.85
VS0GENRJKB,Chevrolet Silverado 4500HD,2013,Diesel,6.37
M280A5BQ,IC Bus CE Series,2005,Hybrid,21
TW6R9RUC,Chevrolet Silverado 4500HD,2005,Petrol,9.87
5WSEVI9V,Hino 268,2014,CNG,14.41
2O2C78KKPHHWWHBF,Isuzu NPR,2010,CNG,8.3
S6764CAQ,Ford F-750,2011,Hybrid,11.29
GL2ZXJMY,Chevrolet Silverado 4500HD,2015,Diesel,9.63
RQU4X965,,2009,Electric,3.82
39CYK4U9,Western Star 5700XE,2010,Petrol,10.96
F7S00WMW,Rivian EDV,2006,Diesel,10.55
NUF8Z3HJ,Peterbilt 579,2022,Petrol,10.32
UZRHP6N5,Hyundai XCIENT,2057,LNG,8.66
A2IID9FV,Kenworth T680,2014,Electric,2.95
IY170M5O,Chevrolet Silverado 4500HD,2009,CNG,0
VTZWTKGV,Peterbilt 579,2005,Electric,-inf
L9BGDYBO,Hino 268,2005,CNG,15.08
3ZCGYCZ9,Rivian EDV,2010,LNG,11.06
17EQ0H90,IC Bus CE Series,2003,Petrol,11.59
9,Isuzu NPR,2006,Hybrid,19.21
PWP33CNJ,Rivian EDV,2022,CNG,8.29
HDP7FSAB,Mercedes Sprinter,2009,LNG,12.61
8XO9UKE2,Chevrolet Silverado 4500HD,2009,Electric,3.0
6T60D5GX,BYD 8TT,2000,CNG,unknown
0T5FXPMD,Rivian EDV,2001,Petrol,16.04
4WTFOO53,Mercedes Sprinter,2015,Electric,3.92
SEAO8ROJ,Hyundai XCIENT,2017,Electric,4.59
OZUVHKG4,Chevrolet Silverado 4500HD,2025,Petrol,6.35
JUQ7X7B7,Thomas Saf-T-Liner,2013,Electric,3.46
L87PSCH8,Ford Transit,2006,LNG,13.54
QBFVQHOE,IC Bus CE Series,2015,CNG,13.31
BOHE8Y37,Western Star 5700XE,2003,Electric,4.34
2OIK2ZJR,Blue Bird All American,2005,LNG,12.1
HFKW95FU,Mack Anthem,2003, CNG,7.08
5ZOBSHO8,Ford Transit,2003,Petrol,15.76
57HW7ZOG,4752,2019,LNG,13.94
MGATND9T,Ford F-750,2004,CNG,9.46
W518X8UPFRAT,Hyundai XCIENT,2000,Electric,4.47
Z36SY0OC,Nikola Tre,2012,Hybrid,13.85
84OTYBC6,Western Star 5700XE,2001,CNG,9.53
MOV5F948,Ford F-750,2014,CNG,14.43
1KP2GVPG,International LT,2023,Petrol,6.65
PKHEOZY5,Tesla Semi,2026,LNG,13.46
GL30VXCU,Freightliner M2,2020,Petrol,9.88
3TJ44R0S,Isuzu NPR,2009,Electric,3.09
6SQDRT21,Thomas Saf-T-Liner,2050,Electric,3.76
R1NAZGEZ,Western Star 5700XE,2017,Diesel,12.24
4M306IJ6,International LT,2016,LNG,12.79
Z7BHT5JX,Mack Anthem,2016,LNG,11.92
C30IDMEE,Hino 268,1976,Petrol,9.91
8UTM4GVV,Ram ProMaster,2015,Petrol,7.18
HHLDA2UX,Thomas Saf-T-Liner,2026,LNG,11.74
KAB4RT3K,BYD 8TT,2000,Petrol,12.85
FK2076VM,Peterbilt 579,2026,Hybrid,14.41
MXNGHIRE,Blue Bird All American,2026,Diesel,12.3
ZVYM63YW,Kenworth T680,2015,Electric,3.7
G9JBD25O,Ram ProMaster,2007,LNG,13.09
4LIB1X56,Hyundai XCIENT,2041,CNG,9.29
ORXO1BDJ,Peterbilt 579,2024,Petrol,10.85
CBBG8PRK,Mercedes Sprinter,2016,Petrol,14.96
HCG2B7QV,Ford Transit,2012,Hybrid,17.68
PWB0F4X6,BYD 8TT,2019,LNG,11.61
6O8BJMIG,Hino 268,2020,CNG,15.31
00ML2NYD,International LT,2014,Petrol,6.25
ICED383P,Thomas Saf-T-Liner,2003,Hybrid,16.34
0OZS6G9J,Isuzu NPR,2011,Petrol,17.45
BNVFOLP6,Chevrolet Silverado 4500HD,2005.8,Petrol,10.93
AB17ZIAF,Ram ProMaster,2024,Electric,4.89
JZXZJ2FO,Peterbilt 579,2015,Petrol,8.86
IRK1GW5V,International LT,2002,Electric,4.99
48WVMJAE,Blue Bird All American,2012,Diesel,9.92
EV6VW2TE,Blue Bird All American,2002,Hybrid,19.66
WN1DC7K2,Thomas Saf-T-Liner,2009,Electric,3.58
YC0KLR71,International LT,2025,Petrol,14.39
4440WE0V,Kenworth T680,2014,Petrol,16.45
BBPAE7EB,Mercedes Sprinter,,CNG,13.86
<script>alert(1)</script>,Arrival Van,2001,LNG,10.99
JNSPSKTR,Kenworth T680,2008,Petrol,8.04
5ZWOIO65,Hyundai XCIENT,2011,Hybrid,10.48
F0PY5767,Mack Anthem,2012,Petrol,10.28
7FXI8IQ0,BYD 8TT,2011,Diesel,6.62
TNA623BR,Freightliner M2,2003,CNG,8.05
E73QL46C,Hyundai XCIENT,2022,Diesel,19
j3784mce,IC Bus CE Series,2003,Petrol,17.31
KUZUX887,IC Bus CE Series,2005,LNG,7.45
352C4XA7,Arrival Van,2005,Diesel,5.97
043Y8FXR,Rivian EDV,2002,LNG,7.08
R5LYOB,Ram ProMaster,2015,Hybrid,18.26
UGUO0A6L,Volvo VNL,2012,CNG,8.81
UC00IG3L,Blue Bird All American,2015,Electric,4.99
PBQEW25E,IC Bus CE Series,2023,Electric,4.45
IKJBL42Y,Nikola Tre,2011,Diesel,NaN
Y6XFV7RD,International LT,2002,Hybrid,11.07
9O25WIET,Mercedes Sprinter,2016,CNG,15.3
IVZHSYHA,Model XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,2000,Hybrid,21.08
LQZ2V4Z6,Mack Anthem,2011,LNG,12.78
PM318GIY,Ford Transit,2011,LNG,9.72
OEARNWAW,Thomas Saf-T-Liner,2003,Petrol,17.24
I7QEQKFO,Blue Bird All American,2025,Petrol,15.36
LT4U6O3L,Mercedes Sprinter,2020,Petrol,10.81
RH3VBLYD,Hino 268,2014,Diesel,13.58
PYVGK3UM,Rivian EDV,2012,Petrol,3
V7Q82EMY,IC Bus CE Series,2019,Hybrid,17.05
06R7INCG,Ford Transit,2021,Electric,3.07
WKLX2WED,Mack Anthem,2026,CNG,14.31
0ORS3AVP,Chevrolet Silverado 4500HD,2004,LNG,12.44
FC718F8U,Nikola Tre,2012,Electric,2.79
98VUJUZN,Ford Transit,2023,Hybrid,18.37
4X6CYJQE,Freightliner M2,2011,Petrol,8.55
XV3ED5BK,Mack Anthem,2010,LNG,12.87
CNWQTC2N,Ford F-750,2002,Electric,4.25
Y3X7V5WW,Hyundai XCIENT,2021,Diesel,8.93
VIBZYFGG,Ford F-750,2005,Electric,5.87
5ELREZMF,International LT,2011,Petrol,16.34
0V3WKH3J,Arrival Van,2002,LNG,13.95
TOUI871O,Kenworth T680,2023,Diesel,14.1
S6E4GQGW,Mack Anthem,2018,Petrol,0
QOWAUVW7,Blue Bird All American,2022,CNG,15.1
9FKE4VZN,Blue Bird All American,2023,Petrol,10.57
1TA586IR,Isuzu NPR,2026,ELECTRIC,11.16
  GP62M00Q  , Arrival Van , 2009 , LNG , 8.46 
NT30S0V9,Thomas Saf-T-Liner,2011,Electric,3.0
P6YWK5JR,Blue Bird All American,2008,Hybrid,19.73
US,Ford Transit,2003,Electric,5.35
WNK9MPEM,Blue Bird All American,2005,Electric,5.92
V0TJH9AS,Freightliner M2,2007,Diesel,13.64
ELZAWR7Z,Hino 268,2001,Diesel,14.63
UULKD8WH,Ram ProMaster,2024,Disel,10.8
3MIRB5RQ,Volvo VNL,2019,Petrol,12.97
IC4WZJTA,Freightliner M2,2002,CNG,8.75
  MI3HH2Q0  , Thomas Saf-T-Liner , 2019 , Diesel , 5.43 
FIOKS4A6,Arrival Van,2018,Petrol,16.13
9VD6HAW6,Mack Anthem,2024,Hybrid,13.65
XD5IA5DA,Ford F-750,2019,Diesel,8.72
5BMYRY9V,BYD 8TT,2020,Diesel,8.07
05P6RVWT,Ford F-750,2022,ELECTRIC,16.14
DL4WG5W2,Mercedes Sprinter,2017,Diesel,13.08
7FZ0921B,Volvo VNL,2014,Electric,5.23
V2BLZNXA,Kenworth T680,2009,LNG,10.96
78WW40MT,Mack Anthem,2020,Diesel,10.95
B3DIEBYF,Rivian EDV,2025,Hybrid,17.32
9H9Y449T,Mack Anthem,2006,LNG,8.91
4ZUCGCMI,International LT,2023,LNG,inf
P0TWBARQ,Isuzu NPR,2016,Diesel,14.57
ZCGJEE0N,Hyundai XCIENT,2019,Hybrid,12.04
GRVZ2EHD,IC Bus CE Series,2001,LNG,13.44
LBFJ06DS,Mack Anthem,2010,Diesel,13.34
HVJ5ZVX6,Volvo VNL,2026,Hybrid,13.43
UGT47S15,Blue Bird All American,2003,CNG,14.85
Y2594BNA,Peterbilt 579,2010,LNG,9.35
00000000,Rivian EDV,2025,LNG,9.55
YAHU8YJ5,Ford F-750,2014,Diesel,11.91
YDCTQ1LZ,Mack Anthem,2015,LNG,12.99
R6UFCMVQ,Thomas Saf-T-Liner,2012,Electric,2.56
RQUKJF8R,Mercedes Sprinter,2011,LNG,7.56
UHUKBR3P,Tesla Semi,2009,Electric,5.42
DA47OFOP,Tesla Semi,2011,Diesel,7.9
09UG4HR9,Rivian EDV,2008,Electric,5.82
UWYMA3BQ,Peterbilt 579,2013,Petrol,14.84
WCVFT9O0,Arrival Van,2004,Petrol,15.64
RR87IYOJ,Ram ProMaster,2013,Diesel,5.12
NWOMX3HS,Rivian EDV,2010,Diesel,13
QACBSLYF,Freightliner M2,2004,CNG,13.45
CYL94NXI,Mack Anthem,2012,CNG,15.49
Y3WGXQM5,Blue Bird All American,1976,Petrol,7.57
I7MCU7WH,Mack Anthem,2004,LNG,7.08
Z55ZORXM,IC Bus CE Series,2016,CNG,10.72
7gbgzwo5,Ram ProMaster,2001,LNG,12.93
LDCDMKCU,Chevrolet Silverado 4500HD,2001,Diesel,7.89
HOK1ZME5,Hino 268,2016.7,Electric,5.52
2ZFOPSZV,Ford Transit,2017,LNG,11.3
2OTG5ADG,Arrival Van,2020,CNG,11.25
1BD2SCEJ,Kenworth T680,2009,Diesel,11.68
FIBCSTE2,Thomas Saf-T-Liner,2016,Hybrid,0
6WM6DZTN,International LT,2014,Hybrid,17.2
4FBL98K0,Hyundai XCIENT,2023,Petrol,9.29
2JMRVWTZ,Western Star 5700XE,2026,Petrol,6.3
6TWFS4EB,Blue Bird All American,2010,Electric,2.58
LHPPU1RI,Hyundai XCIENT,2022,Diesel,8.87
896OI3J6,Hyundai XCIENT,2053,Diesel,8.35
2080X1AU,Volvo VNL,2018,Petrol,9.79
A9X9I87A,Isuzu NPR,2003,CNG,15.26
V00L2AOM,Arrival Van,2003,Diesel,6.5
Q6L4JDGJ,Blue Bird All American,2021,Petrol,13.92
CUYDA9AL,Ford F-750,2000,Electric,5.3
DD03UVUL,Peterbilt 579,2013,CNG,10.83
2RLM14AS,Tesla Semi,2019,Diesel,6.15
2S9QGD9E,Western Star 5700XE,2017,LNG,9.93
BWNE4Q77,Freightliner M2,2023,Petrol,8.07
ltc019dp,Tesla Semi,2016,CNG,12.15
XW4WYRW3,Western Star 5700XE,2008,Diesel,5.65
AGFV4L5J,IC Bus CE Series,2012,CNG,inf
12YN1VDR,Chevrolet Silverado 4500HD,2016,Diesel,14.98
WHGDM5BT,Hino 268,2024,Diesel,6.13
XHQEKAC7,Tesla Semi,2004,Electric,4.4
KAXGGEIE,Freightliner M2,2023,Petrol,12.27
VME8462S,IC Bus CE Series,2000,Electric,22.38
HGPZ91KM,International LT,2000,Electric,4.15
S7BGU51G,Kenworth T680,2024, CNG,15.53
S96KW0PN,Chevrolet Silverado 4500HD,2025,Petrol,14.55
175DU23J,Western Star 5700XE,2023,Diesel,8.98
NV87IW8G,BYD 8TT,2012,Diesel,13.26
B4ZVS9YI,Nikola Tre,2003,Diesel,12.61
85L8OZ43,Mack Anthem,2012,Petrol,13.55
